Day,New Deaths
3/12/20,117
3/13/20,665
3/14/20,423
3/16/20,878
3/17/20,796
3/18/20,1281
3/19/20,1188
3/20/20,1205
3/21/20,1590
3/22/20,1823
3/23/20,820
3/24/20,2087
3/25/20,2288
3/26/20,2527
3/27/20,2948
3/28/20,3530
3/29/20,4380
3/30/20,3682
3/31/20,3873
4/1/20,3537
4/2/20,5983
4/3/20,6473
4/4/20,7963
4/5/20,2560
4/6/20,3429
4/7/20,5865
4/8/20,8830
4/9/20,6224
4/10/20,8636
4/11/20,5487
4/12/20,5105
4/13/20,8385
4/14/20,3519
4/15/20,11342
4/16/20,11337
4/17/20,6908
4/18/20,2682
4/19/20,8921
4/20/20,3357
4/21/20,6167
4/22/20,10046
4/23/20,6706
4/24/20,4797
4/25/20,5006
4/26/20,5957
4/27/20,4043
4/28/20,5231
4/29/20,4355
4/30/20,11724
5/1/20,6159
5/2/20,2531
5/3/20,5000
5/4/20,4522
5/5/20,5616
5/6/20,4358
5/7/20,7558
5/8/20,4941
5/9/20,5978
5/10/20,4542
5/11/20,2319
5/12/20,5763
5/13/20,4648
5/14/20,4755
5/15/20,4242
5/16/20,6579
5/17/20,3691
5/18/20,2855
5/19/20,5752
5/20/20,6014
5/21/20,3699
5/22/20,3985
5/23/20,5206
5/24/20,1977
5/25/20,2888
5/26/20,3112
5/27/20,4217
5/28/20,5528
5/29/20,4153
5/30/20,4168
5/31/20,4329
6/1/20,2310
6/2/20,7774
6/3/20,2869
6/4/20,3671
6/5/20,6537
6/6/20,4251
6/7/20,3493
6/8/20,3774
6/9/20,2579
6/10/20,4935
6/11/20,7078
6/12/20,4837
6/13/20,3894
6/14/20,4784
6/15/20,2018
